"","sub","est_alpha.acq","est_alpha_rangecorrected.acq","est_baseline.acq","est_ceiling.acq","RW_model_resSS.acq","CStype"
"58",28,0.249095294627474,0.00301902921546821,17.491591882842,100,1141.48429632135,"CS pain"
"59",29,0.00967228832120963,0.000186438006309815,48.1206192200071,100,40.5852657780076,"CS pain"
"60",31,0.047795638586387,0.000664596500387773,28.0832225891957,100,23.5623363677507,"CS pain"
"61",32,0.109407299999311,0.00206579644617024,47.038683214825,100,30.9898301911728,"CS pain"
"62",33,0.0710003958993954,0.00117696548898467,39.6750401231855,100,157.022682661998,"CS pain"
"63",34,0.00624178034142945,0.000142232007356261,56.1155013034786,100,58.1747845026659,"CS pain"
"64",35,0.0123118534832255,0.000232723144763882,47.0965661979303,100,247.471859098612,"CS pain"
"65",36,-0.00348789928909602,-4.19891128359084e-05,16.9332464173136,100,115.960173507135,"CS pain"
"66",37,0.0886761499423763,0.00115884083566091,23.4785768558092,100,59.1330671741143,"CS pain"
"67",38,0.441724818433503,0.00641444377879948,31.1359123773978,100,1496.68542111682,"CS pain"
"68",39,0.022639692489895,0.000460287671710715,50.8140367832319,100,43.3579020796376,"CS pain"
"69",40,0.0153377285656017,0.000240014003781706,36.0965263528895,100,374.361009468662,"CS pain"
"70",41,0.0604521441661599,0.00103272795053344,41.4636312158161,100,186.26539946858,"CS pain"
"71",42,0.141572314728011,0.00218167656177286,35.1084770269673,100,229.47634726503,"CS pain"
"72",43,-0.0106992640112415,-0.000212595778624488,49.6732057406474,100,12.0940811707731,"CS pain"
"73",44,0.382937571122652,0.00518958853566549,26.2104175521989,100,981.951688001031,"CS pain"
"74",45,0.0933117739393734,0.00107862234393358,13.4898563299931,100,700.711318474961,"CS pain"
"75",46,0.0134558094232429,0.000293011082295494,54.0774727091277,100,97.6255135301718,"CS pain"
"76",47,0.00420495709208046,8.2559519399101e-05,49.0675681897653,100,1.34471386741208,"CS pain"
"77",3,0.11036412527935,0.00125722192393579,12.2158759896181,100,982.556159981591,"CS tone"
"78",4,0.0170835119161581,0.000374608443348744,54.3963511248086,100,144.366141555806,"CS tone"
"79",5,-0.00390919439435454,-7.50650222353714e-05,47.9225572984312,100,163.73927165779,"CS tone"
"80",7,0.000212331430811937,2.36168416272972e-06,10.0932147647904,100,86.7733154281027,"CS tone"
"81",8,0.166399057590939,0.00187097510628097,11.0629227335373,100,359.568903682306,"CS tone"
"82",9,0.0389304483510502,0.000455558424615943,14.543456453757,100,275.635519928576,"CS tone"
"83",12,0.0854794005289562,0.00247709082749428,65.4920200825161,100,1.25300709133983,"CS tone"
"84",14,0.0160319675253839,0.000253353025901335,36.7208365941231,100,1022.81869746946,"CS tone"
"85",15,0.00484433463211597,0.000121552477702784,60.1461465560481,100,80.3029599824341,"CS tone"
"86",16,-0.00018560578029193,-3.85460572662725e-06,51.8483099296557,100,212.794629593434,"CS tone"
"87",17,-0.00135948899889034,-1.37504111375684e-05,1.13102908057835,100,1.73439068688633,"CS tone"
